entity1,text,label
Place,Which daughters of British earls died at the same place they were born at,1
Place,Which is the color for white,1
Agent,Producers of what have died in Mississippi,1
Person,Tom Petty is a member of which band,1
Place,Which citys foundeer is John Forbes,1
Location,List the products of the company which published Tweenies Game Time,0
Event,Who is the commander of Battle of Verdum,0
Person,What faith do hang chuon naron and Kron Ngoy follow,1
SkiResort,tonle sap flows into which river,0
CelestialBody,What village does Rotterdam share the border with,0
ReligiousBuilding,Who is also known as G??rc?? Hatun and contains the word rumi in its name,1
Ideology,Provide a programming language that contained the word zpl in their name used for array programming  paradigm,1
Work,What place that borders SaintMaurice is where Shi Pei Pu died,1
Agent,Which chemical compound has the highest globalwarming potential,1
Person,Name the river  whose source location is Nevado Mismi and region is Arequipa Region,1
Location,What operas has Claude Debussy composed,0
Holiday,Which is the district in AlQassim Region that has diplomatic relation with Mongolia ,0
SoccerClub,What diplomatic relation to Canada is in the administrative unit of Victoria,1
University,Give me the mascot of the military unit in which Stewart Bovell served,0
SkiResort,Name the home town of Rolando Gomez ,0
State,Who is the member of political party and the member of of ThurgoodMarshall ,1
Media,Which is the video game of voice actor Sasha Grey,1
Settlement,What award was received by Igor Tamm together with Pavel Cherenkov,1
Website,Where did Allama Matthews study,0
BaseballTeam,What is the military rank of the important commander of Peruvian Army,0
Organisation,Who is the cofounder of the university that Scott McCartney attended,1
CelestialBody,The controlledaccess highway is part of what highway system,0
Animal,What type of fantasy film is Peter Pan,1
AcademicJournal,Where was Constantine the Great born and where did he die,0
PopulatedPlace,What is the game artist for Naoto Ohshima,1
SocietalEvent,Which is candidate of Battle of Oudenarde that has diplomatic relation is Japan ,1
Biomolecule,Which cricket team containing the word Indian was headed by coach Mahela Jayawardene,0
AcademicJournal,Where are the philosophers from whose main work is on the matter of feminism in Canada,0
Agent,What hotel located in the Copenhagen Municipality has the greatest vertical angle,0
Organisation,who are some miss michigan usa,1
Settlement,Did Denis Diderot die in the 3rd arrondissement of Paris,1
CelestialBody,Where was Henri Poincare born who has the shire of MeurtheetMoselle,0
Settlement,Which are the mineral acids that contains the word acid in their name,1
Activity,Which is the chivalric order for Pedro Calder??n de la Barca,1
PopulatedPlace,Which position does Justin Trudeau hold,1
Activity,What were robert sarvis and JAck Ryan nominated for ,1
Family,According to the Royal and Parliamentary Titles Act of 1927 what is Christopher Lees country of citizenship,0
PoliticalParty,Was J G Ballard born in the Peoples Republic of China,1
Settlement,What is successful candidate of Ernesto Zedillo ,1
State,Name the language of I Love How You Love Me ,1
Organisation,What is Jammu and Kashmirs commune in their diplomatic relationship with Iceland,1
PersonFunction,Where in the bible can you find the book of David,1
GivenName,What is difference from Tsardom of Russiathat the official language is Nogai,1
Name,How is the sigil of Weesperkarspel painted,1
OfficeHolder,What magazine published Allal and is the employer of Peter Bergman,0
Non-ProfitOrganisation,Give me all Australian metalcore bands,1
SoccerPlayer,What is Leslie Lamports country of citizenship,0
Media,What human biblical figure starts with the letter z,1
Location,List the goverener of Winston Bryant,1
Governor,Where does the holder of the position of Lech Kaczynski live,1
Family,What did the software publisher Complete Psionic specialize in the field of action,0
PopulatedPlace,What is the birth place of Syrian Darley Arabian,1
SkiResort,Which school of jack mcGregor attend which was also the training center of William Anthony ,0
Person,What are the Mahavidya which start with the letter t,1
Location,Which educational institution has Kaplan Inc as its affiliation,1
PoliticalParty,Who replaced Aldo Moro as the Minister of Foreign Affairs,0
Family,Who is the ancestor of the record producer from The Thrill Chaser,0
ChemicalCompound,Name a professional sports league starting in September that starts with letter P,1
Family,What and where is the record for the pole vault held,0
BodyOfWater,Which is son who has brother of Victoria Cary ,1
University,Which is the film the was produced by Isabelle Adjani,0
Agent,What platform and software engine does Dota 2 use,1
Family,which office building with the highest floors above ground whose instance is skyscraper,0
CelestialBody,What is the river whose source is Lake Ontario,0
Place,which person created the women in the garden,1
State,Which band was left by Kevin Jonas,1
Person,What is language is spoken by the Gujarati people,1
PersonFunction,Which is the parent body of Enceladus that have child body as Hyrrokkin,0
AnatomicalStructure,Which Class IB flammable liquid has maximum partition coefficient wateroctanol,1
Family,Name the rivers originating from an English speaking nation,0
PopulatedPlace,WHAT IS THE CROSSES FOR TOWER BRIDGE,1
Agent,who academic major for field of work of Noam Chomsky,1
Currency,Which is the mascot for narwhal,0
Settlement,Where has Thelonious Monk studied,1
Food,What band was Afrika Baby Bam a part of and often performed with Q Tip,0
PeriodicalLiterature,In which state Penn State University is located,1
CelestialBody,What is the diplomatic relation of the African Union,0
Country,Which is the city for the twinned administrative body of Nagasaki,1
PersonFunction,In The Indian War of Independence what is the favorite player of the writer,1
Album,What is the taxon that causes syphilis,1
GeologicalPeriod,What legislative body is parliament in the Kingdom of Great Britain,1
PoliticalParty,Who is named after radiography who had August Kundt as a teacher,1
Taxon,Tell me studio album whose name has the word wolf in it,1
ProtectedArea,Who is in the administrative unit of the South Khorasan Province  Who has administrative divisions in the North Khorasan Province,1
Surname,who next to lake of  the principal area  of university of medical Sciences and technology ,0
Person,What are the mountains in the Sequoia National Park,1
Organisation,Which award did Ian McKellen receive for his work Gods and Monsters,1
Work,Who is the Head of State  of the Austrian Empire,1
Person,Whose songs are Tickle Me and Viva Las Vegas,1
PoliticalParty,What is the alma mater of K Terry Dornbush ,0
Library,Where did the conflict take place where Liu Mingchuan fought,1
Country,Which is the republic in the history topic of the history of India,1
Person,Which participants of the Battle of Leuthen had a brother named Francis I Holy Roman Emperor,1
PopulatedPlace,What is the CFSI of the Le Pere Goriot setting location,1
Location,What professional sport does Kristi Yamaguchi participate in,1
Holiday,Where all does the sister station of virgin radio play,0
River,Who is the devout Episcopal child of Casey Affleck,1
Infrastructure,What city was Phil LaMarr born in,1
Church,What is the name of the sister city of Oslo where Ernest Sachs was born,1
HistoricalSettlement,Who is the former partner of the pupil of Dalilah Sappenfield,0
Organisation,What is the Class IC flammable liquid with the least observable adverse effect level that contains Carbon,1
Work,Where is the capital that is adjacent to the Rewari district,1
Location,What is preceded by the Emirate of Sicily which is on the continent of Europe,1
Location,Which member is author of Two Treatises of Government ,1
Agent,What water bodies have primary inflows sa Kemijoki,1
Crater,Which institution of the Alton Ochsner is also the alma mater of John Michael Seabright ,0
Name,Larry Flynt is editor of which magazine,0
Award,Which fictional characters portrayer was edited by Roger Barton,1
Department,What was Bill Cosby military branch while he was a hospital corpsman,0
PopulatedPlace,which is diplomatic relation of east timor that is statement is subject of east timorindonesia relations,1
Place,Which the subject has role and the location of discovery of Iodine ,1
Place,Who are the director and director of photography of Fight Club,1
Place,List the governers of Jimmie Lou Fisher,1
Philosopher,Who is the CEO of Society of Jesus,1
CelestialBody,What administrative unit of Visayas has a king named Jos??  P Laurel,0
Location,What is Hilary Mantels college degree in,1
Department,Where is the place of death of Gy??rgy S??rosi in Italy,0
Agent,tell me musikdrama is starts with p,1
Agent,Tell me the essential medicine for the pregnancy category of the Australian pregnancy category D that contains the word warfarin in its name,1
Name,Did Ulysses S Grants horse have a name,1
CelestialBody,Who was the stepfather of Claude Debussy,0
PopulatedPlace,who sister city of location born of Shawn Stasiak ,1
Organisation,Who is John Hustons stepparent,1
Person,Where is the next crossing downstream of the London Bridge,1
Lake,What are some bands out to texarkana,0
Website,Which musical did Pete Townshend compose,0
Department,Name the F1 racer with relative as Ralf Schumacher and has child named Mick Schumacher,0
University,What is the galaxy with the lowest redshift whose constellation is Bo??tes,0
Country,Which has wards of stockholders of Kagawa Prefectural Road Route 18 ,1
Play,Tell me house cat whose name  starts with m,0
WrittenWork,To which country does Peter Blay owe his allegiance,1
Family,Name the common university of the Cardinal and Jim Wylie,0
BodyOfWater,Give me some nominees of politicians in the US,1
PublicService,Which country replaced Czechoslovakia,0
Name,What is the Christian name of Paul Anderson that is the same as Pavle,1
SkiResort,what is standards organization that starts with t,0
Scientist,What astronaut mission did Gordon Cooper use the Gemini spacecraft for,1
Mineral,What work of made by of Hallelujah ,0
City,What the name of a university that contains the word university in its name,0
SkiResort,What city is the residence of Cheryl Teigs,0
Agent,Which american football team  has stadium as Oco Coliseum,1
PopulatedPlace,Who is appointed by the United Nations SecretaryGeneral,1
SoccerClub,Tirana is the largest city of which country,0
City,Whos actions evoked the Russian Civil War,0
Award,In which city the main headquarters of the company PricewaterhouseCoopers are located ,0
Family,Which is the accreditation for European Parliament,0
Holiday,Name a big city that contains the word ????d??  in its name,0
Location,who archipelago for official language of norwegian,1
SoccerClub,President of Ghana is the leader title of which country,0
Work,What is operated by FedExField ,1
City,What is recorded species holding of Nashorn Zebra  Co,1
Location,Who is the island nation for participant of North African Campaign,1
SkiResort,What is the PTSD treatment medicine,0
Agent,Which medical subfield studies cancer,1
Place,Where were the birthplaces of Nawab Bais children,1
Place,Which administrative unit of Turks and Caicos Islands has a AUSCANNZUKUS member,1
PublicService,Who is husband of Michael Curtiz whose first name is Lucy ,0
Place,What is the municipality of the Browns Corners Toronto and also the  place of birth of the George Karrys,1
PopulatedPlace,Name the municipality of Roberto Clemente Bridge ,1
Location,What is the death location whose partner city is Jakarta of Samuel Butler,1
MedicalSpecialty,Who is graduated from Georges Dum??zil whose parent company is Centre de Recherches sur la Pens??e Antique,0
Protein,Tell me military campaign whose name has the word operation in their name,1
Agent,What is the first described death place of Ariel,1
Agent,What are the lyrics for the hit single by The Big Bopper,1
Company,List the judges of Rising Star which is also the artist of Brad Paisley discography ,1
BodyOfWater,Who was awarded Olympic bronze medal in Ryan Lochte,1
Person,For what movie Alain Resnais was nominated to the C??sar Award for Best Adaptation,1
Library,What is the name of the publishing house that published the journal of the Oncedaily gentamicin administration for communityassociated methicillin resistant Staphylococcus aureus in an in vitro pharmacodynamic model preliminary reports for the advantages for optimizing pharmacodynamic index,0
Place,Who is in voivodership of Asyut Governorate that has diplomatic relations in Russia,1
PeriodicalLiterature,What planet has use of a sundial,1
Person,Tell me the sovereign state of Nowruz for public holiday,1
Family,What is in the work of Eve whose language of website is Biblical Hebrew,0
Department,Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar Kolkata ,0
CelestialBody,Whose provides the service of  Outlook and also products  such as Visual Studio,0
ChemicalSubstance,What city in Ukraine is the twinned administrative body of Vancouver,0
Settlement,Tell me the Palace that starts with t,1
Agent,What borders the birth place of Johann Pachelbel,1
Game,What is the location of death of Antonio Canova whose category of associated people is the Category People of Venice,1
Food,Who is the spouse of the Sailor Moon author,0
University,What country is Siege of Constantinople from Are they from Asia,0
HistoricalSettlement,Which is the sports award that Tim Duncan was awarded,0
Family,Who is the manufacturer of engine of Jeep Forward Control ,0
Astronaut,Jimmie Fisher and Winston Bryant were governors under which president,1
Family,Who is in voivodership of Asyut Governorate that has diplomatic relations in Russia,0
ArchitecturalStructure,what is tributary of terrain feature of lesser antilles,1
Crater,Which is film genre played by James Bond Theme ,0
Person,Who died due to Morphine ,1
OfficeHolder,What is the name of the church where Kollegah works that has Wilhelm Von Becker as senior pastor,1
Person,Which subject has role and the significant drug interaction of Amphetamine ,1
PopulatedPlace,What do the authors of Needle in the Groove inform us about,1
Location,Food in which countries has shallot in it,1
Person,Name the islands that belong to the archipelago whose largest city is Papeete,1
City,Where has Thelonious Monk studied,1
Agent,Tell me video game whose name has the word zauberschlo?? in it,1
Settlement,"Which family member of Luca Signorelli is a writer by profession 

Name the family member of Luca Signorelli who is a writer by profession 

Which of Luca Signorellis relatives has a career in writing 

Who is the relative of Luca Signorelli who has a career in writing",1
Biomolecule,What are the party which start with the letter zeltkirmes,0
Agent,Which is the foundational text for Declaration of the Establishment of the State of Israel,0
Place,What country is Salman of Saudi Arabia a citizen of,1
OfficeHolder,Name the actor of Soylent Green to which Lydia Clarke is married ,0
PoliticalParty,What country did the successor of William Ofori Atta swear his oath to,0
RecordLabel,Which is the city and state for the twinned administrative body of Auckland,1
Department,TELL ME INTERNATIONAL SPORT GOVERNING BODY WHOSE NAME HAS THE WORD WORLD IN IT,0
Place,Where was Constantine the Great born and where did he die,1
Settlement,Who was the student of Johann Wolfgang von Goethe,1
Work,Which key person of the Clinton Foundation is also the president of Edward J Perkins ,1
Biomolecule,Provide the information of Mimas orbits,0
Organisation,What is written in a programming language developed by GNOME Project,1
City,Did Barbados have a diplomatic relationship with Nigeria in the past,1
PoliticalParty,What is murder method of Fernandel which has signs is wheeze ,0
Person,Name the building by the engineer Arup with the least amount of elevators,1
Architect,Jimmie Fisher and Winston Bryant were governors under which president,0
SkiResort,Which girl group starts with the letter v,0
MusicalArtist,Who were the first drivers in the grand prix which took place at Autodromo Enzo e Dino Ferrari,1
City,WHICH IS THE FEDERATION WITH THE MOST PPP GDP PER CAPITAL,1
Agent,Who built the stadium which was rented for the 2013 Copa Centroamericana ,1
Place,What is in the principal area of Bouvet Island that is also a member of the Group on Earth Observations,1
Language,What are the interdisciplinary science which start with the letter toxicology,0
Family,What subtopic of Moscows history contains the division called the Khoroshyovsky District,0
Monastery,Name the notable work by Russell T Davis which is also the series of Doctor WhoDestiny of the Doctors ,0
BodyOfWater,What is the country whose leader is Donald Trump ,1
City,In what country was the pope born in,0
Family,Which is the open period for Friday,0
Award,For what work was Charles Laughton nominated for at the Academy Award for Best Actor ,1
CelestialBody,Give me all actors who were born in Berlin,1
HorseRace,What country is The StarSpangled Banner connect to,0
Person,WHICH IS THE HQ LOCATION OF TEAMS PLAYED FOR HAMZE GEZMIS,1
Country,Where is Messier in the galaxy,1
Place,Who invented the Hamiltonian mechanics that consisted the members of National Academy of Science,1
City,Who is the child of Charles Martel who also has a brother called Remigius of Rouen,1
Work,What is the actress that has received the Bodil Award for Best Actress in a Leading Role,1
MusicalWork,Tell me me a citystate whose name consist of the word hamburg and whose highest point hasselbrack,1
HistoricalSettlement,List the former partner of the figure skaters whose former choreographer was Igor Shpillband,0
Country,In which city did John F Kennedy die,1
Agent,Who is the person that was a student of Ivan Pavlov,1
Airport,Who were the narrators of the albums which had Ringo Starr as one of the narrator ,0
PublicService,Which  subsidiary company of developed by MP3,0
Device,Vladimir Lenin is the head of government for what organization,0
SkiResort,What location was Moria Casan born thats currently subdivided into Puerto Madero,0
Family,Who was the previous top dog of 1991 Mr Olympia,0
Place,In which races did Mouse Morris take part,1
Agent,Which is the republic in the history topic of the history of India,1
TopicalConcept,In which country is Mecca located,1
Agent,What is the mascot of alma mater of John O Moseley,1
Name,Name a movie featuring Paul Rudd,0
SportFacility,Which golf course with the highest par is in California,1
Architect,Who attended Great Ayton university,0
Play,Who holds shares in something famous for the Seven Spring Mountain Resort,0
Food,Name presidents of the schools which have queen noor of Jordan as one of them ,0
Work,Who is the artist of the albul Up til Now,0
Flag,WHO BURIED THE CREATORS OF THE SACRIFICE AT LYSTRA,0
Single,What is the genus with the highest chromosome count in the taxon rank,1
Name,Tell me the road bridge which contains the word viaduct in its name,0
Country,To which country does Peter Blay owe his allegiance,1
Architect,List the show related to the which was followed by Doctor Who Extra,0
SoccerPlayer,Which funicular has the smallest maximum gradient,0
Person,What did Safwat Ghayur attend in action,1
Country,Name the river with mouth palce Essex and source place as Gloucestershire ,1
Family,Which fork of the Nile has its orgins in Lake Tana,0
PopulatedPlace,List the judge of the TV show whose one of the judge is Ludacris ,1
State,In which time zone is Pong Pha,1
Agent,Which band made the song Take me There and has collaborated with Blayse in the past,1
Disease,Name the taxon with the longest subclass of HIV,0
Organisation,Give me some shows related to the ones created by Russell Davies,1
AcademicJournal,What was the nomination received by Aki Kaurism??ki whose prize winner was Sam Garbarski,0
PoliticalParty,What is the record label and the discography of Nickelback ,0
BaseballTeam,Who is the publisher of the track on NickelCatalyzed Coupling Reactions of Alkenes,0
RacingDriver,Who is wedded to Cindy Crawford whose award is the Golden Globe Award for Best Actor  Motion Picture Musical or Comedy,0
Family,Give me all launch pads operated by NASA,0
AcademicJournal,What administrative territorial entity of Kenya starts with the letter n,1
Disease,What are some famous pieces composed by The Seasons,1
Person,Which universities are alma mater to Charles Plosser,1
Infrastructure,Which sucessor of George Madison is the sucessor of levi Lincoln Sr ,1
ProgrammingLanguage,Who is Isadora Duncans mother,0
SkiResort,Who is the member of political party and the member of of ThurgoodMarshall ,0
ChemicalCompound,Which pole driver of 1989 Portuguese Grand Prix was also the first driver of 1993 European Grand Prix ,1
Name,What is the alma mater of the chancellor of Germany Angela Merkel,1
Architect,Which person naratted The Incredible Hulk and also the writer of Tales of Suspense ,0
Castle,Who gave thefounder of owner of Bigbig Studios ,1
Agent,Name the route end of the NorthSouth Transport Corridor and Mumbai Vadodara Expressway,1
TopicalConcept,What is Leslie Lamports country of citizenship,1
Place,which conglomerate has the highest market capitalization,1
Tournament,What is the club of Perianne Jones ,1
Family,Who replaced Bonaventure as cardinalbishop,0
Family,Name the year and the place on which Marilyn Monroe married to Joe DiMaggio,0
Settlement,Whose tomb is in cities under Dane County of Wisconsin,1
Country,who is the governer of New Castile,0
Flag,Which famous writer was married to Jill Krementz and had a son named Edith Vonnegut ,0
Work,Why was Theodore von K??rm??n received the title of doctor honoris causa,1
Person,Which is the museum that is commissioned by the Suleiman the Magnificent,1
Taxon,Which office holders successor is Adrian A Basora and child named Lori Black,1
Name,What is the Recorded of the Kaptaan is also the headquarters of the Orient News ,1
Disease,Where was the place of activity for Erich Von dem BachZelewski that was on lake in the Westhafen Canal ,0
SkiResort,What secret police organization was led by Lavrentiy Beria ,0
PopulatedPlace,Who cofounded the region release of An Introduction to the History of Science,1
Department,What framework and programming language are used in Skype,0
Disease,Which is the medical therapy of the cause of death of Fran??oisNicolas Delaistre,0
Place,What is the Super Smash Bros Characters Jobs,1
Person,Where does the river end which starts in Mazabuka,1
Place,Where is the copy of the book Philosophiae Naturalis Principia Mathematica written by Isaac Newton,1
Family,Who is cheflieu of Shashanka whicg has cheflieu of is Nawabs of Bengal and Murshidabad ,0
Work,tell me sovereign state which name has the word yugoslavia in it,1
SkiResort,Tell me identical twins whose name has the word veronicas in it,0
PersonFunction,Tell me a research station on Earth that starts with the letter i,0
Name,In which city was the film star of Singhasan Battisi born ,1
Food,What is the location of the Houses of Parliament,0
Person,Which soccer players are currently playing for NYC FC,1
Location,Which golf course with the highest par is in California,1
River,was wolfgang amadeus mozart given birth to in Salzburg,0
Department,Who is the actor in Captain Typho,0
Newspaper,Which artery supplies blood to the stomach,1
SkiResort,What are the video games composed by Hirokazu Tanaka,0
CelestialBody,What is the basin country of Sikkim,0
Agent,Name the company which produces Marionette and has key person as Edwin catmull ,1
Cemetery,Who died and wrote The Planets,1
CelestialBody,Which ensemble of buildings has the smallest intensity of luminosity,0
Location,Which relative of George Madison is the appointer of John Drayton ,0
Website,What is the deathplace of the rugby player who is the relatives of Anton Oliver ,0
Department,who federal state for indigenous to of american english,0
Lymph,Louis Dunbar is the coach of which basketball team ,0
River,Which political party elected Aung San Suu Kyi as secretary general,0
SkiResort,How do you rate the Via col Vento edition on a musical scale,0
Agent,What award did the short story Flowers for Algernon receive,1
Person,Which football team is in a city where A J Clark was a builder,1
Actor,Who is the son of Charles Lucien Bonapartes wife,0
SkiResort,Which is treatment murder method of Ted Hughes ,0
Person,What is the diplomatic relation of Cambodia whose national anthem is Hatikvah,1
City,What is it,1
Family,Who are the writers of The Second Coming whose deathplace is Menton,0
PoliticalParty,Name the person whose daughter is Rohan Marley and also another children named Sharon Marley ,0
WrittenWork,What country is Santa Monica in where Fred MacMurray died,1
Location,Tell me news magazine whose name has the word weekly in it,1
Agent,where is tributary  located on body of water of Nagoya ,1
Media,Who worked as the managerdirector of ??cole Normale Sup??rieure,0
Taxon,Where do the rivers from greater London flow into,1
Website,Name some shows whose company is owned by the CBS Corporation,0
Person,What scripting language designed by Rasmus Lerdorf starts with letter p ,1
PopulatedPlace,What is the place of the Geography Club play which is also the  official residence of the Scott Berkun,1
SkiResort,To which nation did David Animle Hanses owe his allegiance,0
Activity,Which metropolis starts with letter K and was categorized and shot in Karachi ,0
Agent,In which city did John F Kennedy die,1
Department,What are some musicians who have worked with Dean Ambrose,0
UnitOfWork,Which birthplace of Liliya Lobanova is also the location of the Snake Island ,0
Name,Name the tributary that flows form the harbour at Guangzhou,0
PoliticalParty,which record did pole vault hold and which is the height,0
PublicService,What is the alkane with the safety classification and labelling of NFPA 704 Standard System for the Identification of the Hazards of Materials for Emergency Response and which has the word propane in its name,0
Event,Which republic that is a member of the International Finance Corporation has the lowest Human Development Index,0
PopulatedPlace,What is the municipal corporation for the capital of Karnataka in India,1
Person,Which sports are played in schools affiliated with the Harvest Christian Center,1
Street,What is the hub and who is the owner of Shandong Airlines,0
TopicalConcept,What sister city to Haifa is the headquarters of Newcastle University,0
Agent,When did the life stance of saint governing text ,1
Place,Who is the nominee for Nirvana whose victor is Moby,1
Agent,Name the sister city of the place where Lisa Nowak was born,1
EducationalInstitution,In which location Joseph Freiherr von Eichendorff works at,1
Language,who  is the child of bernie ecclestone,0
Organisation,Where does the jurisdiction of European Border and Coast Guard fall,1
Family,What kind of music did Lou Reed play,0
Department,Where do the sister stations of Al Khaleejiya 1009 play,0
PopulatedPlace,Which spacecraft Alan Shepard used in his astronaut mission,1
Mineral,which is the country for Hrant Dink that has place of death as Istanbul ,0
Place,What what is citystate highest judical authority by HCC and also which starts with letter h,1
Organisation,What is the HQ of ??rztekammer Nordrhein,1
CelestialBody,What television show is aired on channel Sirius XM Holdings,0
Agent,Where is the stadium of Philadelphia Rage ,1
University,Who designed the bridge in Oddamavadi,1
Name,Who is in the voivodeship of of works at of Alan Watson ,0
SoccerClub,WHICH IS THE BRAND WITH THE MAXIMUM SCALE,0
HorseRace,Who proved the theory of Proper Motion Their surname is Halley,0
Architect,where did Boga originate,0
Name,What Hanseatic city is the twinned administrative body of Leeds,0
Family,Name the work institutions of Andrew Schally,0
HistoricalSettlement,What was cofounded by alumnus Guido Bertolaso,0
Location,Which is the newspaper format of entertainment,1
Department,What are some neighboring cities of cologny,0
Museum,What is the municipality of the Homestead Grays Bridge and Roberto Clemente Bridge,1
Galaxy,What is the city in Ukraine hat has replaced Khadjibey and that starts with letter O ,1
Place,Which country has the highest quality of life according to the international center for settlement of investment disputes,1
Person,What is the occupation of William Shakespeare,1
Agent,What subsidiary entities are cofounded by Google,1
Award,How long it the Jurassic Park game take to complete,1
Play,What is the ethnography for this property unit,1
Place,what is the member of the comes from of esquire,1
MilitaryConflict,The country of Catania has which cities,1
City,What is the place of interment with twin cities of Tel Aviv of Mae West,0
Location,What is the village for the place of death of Akhenaten,1
SkiResort,Which territory of Indianapolis is Unigov located in,0
Department,What is the alma mater of the scientist  whose PhD advisor is JeanClaude Latombe ,0
SkiResort,What is the residence of the person who starred in Men Will Be Men ,0
MusicalArtist,Name a city located next to the Rhine river that contains the word  mannheim in its name,1
Organisation,What is the name of the building where Mukeshi Ambani reside in,1
MusicalArtist,Which team of Dan Shamash is also the debutant team of John Estes ,0
Agent,who are the member and member of political party for NikitaKhrushchev,1
Person,Which business division does The Walt Disney Company belong to,1
Department,What is it,0
SkiResort,Who is the actor who played Lord Voldemort and is in the LEGO BATMAN Movie,0
SoccerClub,What are the legal profession which start with the letter s,0
Profession,Where is the garrison of Western Naval Command ,1
TopicalConcept,Which member of the American Academy of Arts and Sciences is sillimanite named after,1
Flag,What is the death place of Lavrentiy Beria and is the twin town of Tehran,0
Place,What country did John Barrymore die in if the city was Los Angeles,1
Actor,Who is the head of state of Erich Honecker,0
PoliticalParty,What are Breann McGregor and Anika Knudsen both known for,0
HistoricalSettlement,Where was James Clerk Maxwell born in Scotland,0
PoliticalParty,In which monarch did Li Si succeed someone,0
Website,Who was nominated for the Academy Award for Best Special Effects for The Ten Commandments,0
River,What is the honorary title given to Albert Gunther which was won by PA Buxton,0
Organisation,who sons of portrait of antinous Osiris,1
HistoricalRegion,Which is the GUI toolkit of framework for iOS,1
Person,Who was the person that was a student of Gustav Mahler,1
Country,Bill Gates is the chairperson for what private foundation located in the United States,1
Profession,Name the parent company of Ford Falcon Cobra ,1
Country,What part of the stomach is the venous return connected to,1
University,In which location Joseph Freiherr von Eichendorff works at,1
CelestialBody,Who is the designer of the theme Tupolev Tu80,0
HistoricalSettlement,who next to lake of  the principal area  of university of medical Sciences and technology ,0
Location,who is the Christian chapel for patron saint of Anthony of Padua,1
Activity,Of all the teams that Andrew Economos played for which one did Jerrel Jackson play his first game for,1
PoliticalParty,Which port has the highest production rate,0
Agent,Which assembly is endemic to Gujarati,1
Family,Which rural cities have movable object location from Crimean War,0
Location,What is the label of Next Thing ,1
City,What is the librettist of Die Walk??re,0
CelestialBody,Tell me town whose name has the word sturovo in it,0
City,What city in Mumbai houses millions of people,1
Beverage,What is the largest city of Pulau Ubin ,0
Device,What is Pete Conrads backup or reserve team or crew,0
City,For which work did Penelop Lively win the Carnegie Medal,1
OfficeHolder,Who was the member of John William Strutt 3rd Baron Rayleigh proceeded in BerlinBrandenburg Academy of Sciences and Humanities,1
SkiResort,What is the twin town of Sakie Akiyamas birthplace,0
Location,Who is the owner of the website which has the label Seed Eight ,1
SocietalEvent,What are the television shows whose company is Playtone,1
Agent,What type of music is developed by Monopoly Star Wars,1
Company,What theatre did Frank Gehry design,1
Event,Who is the producer of Captain EO ,0
WrittenWork,In which country is there a political party whose leader is Jose Cha Cha Jimenez,1
Continent,Whose famous works have been illustrated by E W Kemble,0
Agent,What is the longest river,1
ChemicalSubstance,Which is the tributary for Tennesse River,0
SkiResort,Where located the administrative territorial entity of Plutarch whose place of birth is Chaeronea,0
Family,Which is the twin city of place of death of Clark Gable,0
TopicalConcept,What is the furthest planet with the lowest synodic period from the source Ottos encyclopdedia,0
Organisation,Which shows are from a company whose subsidiary is Viacom Productions,1
ChemicalCompound,Name the country whose leaders deputy is Piotr Glinski,1
SoccerPlayer,What award did Cherry Jones achieve in the 49th Tony Awards,0
PoliticalParty,Where did Doug Walgren and Lee Si Chen study,1
Currency,How is formation of James Longstreet which has parent company of is United States Department of the Army ,0
PopulatedPlace,Is Adam Mickiewicz a resident in the area that divides into Vyborgsky District Saint Petersburg,1
Organisation,Where did Goran Cengic die,1
Family,Who is the role model of the author of The Iron Duke,0
PopulatedPlace,Name the F1 racer with relative as Ralf Schumacher and has child named Mick Schumacher,1
Place,What country of the Russian Empire is the birth place of Feodor Chaliapin,1
SportsTeam,Name the source of Raa ,1
MountainRange,Which international airport is located in Salt Lake City,0
Person,Tell me recurring event whose name has the word worldcon in it,1
Film,Who is wedded to to Radha that has a child named Samba ,1
TelevisionShow,Which TV show whose theme is composed by someone signed up with ATO records,1
PopulatedPlace,What sovereign state contains Mizoram,1
Award,Tell me the name of a single that starts with the letter w,1
Airport,Who is the child of Walter Raleigh,0
SkiResort,Who are the players whose current clubs have Ferran Soriano as chairman,0
Family,Which river has its roots in Baikal Mountains,0
Disease,What is the area of responsibility for the NPR that has a time of UTC 0700,1
Mineral,What field of employment is K??tar?? Yoshida in,0
City,Emmanuelle Alt is the editor for Vogue in which country,1
Election,What is the Class IIIB combustible liquid with the highest flash point that is used in insecticides,1
Agent,Which rivers have source origins asnorth western Zambia ,1
PersonFunction,Who is film producer of narrative of Henderson ,0
Department,What are the brain region that starts with the letter t,0
MountainRange,Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ,0
Family,Name the scientist whose supervisor also supervised Mary Ainsworth,0
Country,What is the reason for John Williams nominations for Jaws,1
Holiday,Which is the museum for the parent organization of the Smithsonian Institution,0
GridironFootballPlayer,What is the watercourse with the highest length whose country is Lithuania ,1
SportsEvent,which is sister birth city of Ludmilla Siim ,1
PopulatedPlace,What award was received by Igor Tamm together with Pavel Cherenkov,1
MeanOfTransportation,What is the sea whose cities are Gdask and Oulu,0
Place,Which relative of ralf schumacher is a famous formula one racer,1
FictionalCharacter,Which kernel is named after Linux,1
Person,Who founded the sister stations of Discovery Communications,1
TelevisionShow,What was the noble title of Charles the Fat and who was he followed by,1
